id_municipio_tjsp,raj,municipio_tjsp,comarca_tjsp,comarca_sede,imoveis
6607,4ª RAJ Campinas,Cajamar,Cajamar,1,Fórum II Cajamar - (CEJUSC)
6600,9ª RAJ São José dos Campos,Caçapava,Caçapava,1,FÓRUM CAÇAPAVA - JUIZADO ESPECIAL / SERVIÇO PSICO SOCIAL - RUA CÔNEGO RODOVALHO
6600,9ª RAJ São José dos Campos,Caçapava,Caçapava,1,FORUM CAÇAPAVA - CRIMINAL / EXECUÇÃO FISCAL - RUA MARQUES DO HERVAL
6600,9ª RAJ São José dos Campos,Caçapava,Caçapava,1,FÓRUM CAÇAPAVA - CÍVEL / CEJUSC - PRAÇA DA BANDEIRA
6612,4ª RAJ Campinas,Campinas,Campinas,1,Foro Regional de Vila Mimosa - Campinas (Des. Antonio Carlos A. Braga)
6612,4ª RAJ Campinas,Campinas,Campinas,1,Fórum de Campinas - Cidade Judiciária
6612,4ª RAJ Campinas,Campinas,Campinas,1,Posto de Atendimento de Inicial do Juizado Especial Cível de Campinas - UNISAL
6612,4ª RAJ Campinas,Campinas,Campinas,1,Posto de Atendimento de Inicial do Juizado Especial Cível de Campinas FACAMP
6612,4ª RAJ Campinas,Campinas,Campinas,1,Posto de Atendimento de Inicial do Juizado Especial Cível de Campinas - METROCAM
6613,4ª RAJ Campinas,Campo Limpo Paulista,Campo Limpo Paulista,1,Fórum de Campo Limpo Paulista
6613,4ª RAJ Campinas,Campo Limpo Paulista,Campo Limpo Paulista,1,Fórum de Campo Limpo Paulista (Anexo)
